Subject, speed (m/s), run, startTime (s), dataPtsAfterStomp, label, sensor 8 rms, sensor 7 rms, sensor 6 rms, sensor 5 rms, sensor 4 rms, sensor 3 rms, sensor 2 rms, sensor 16 rms, sensor 1 rms
001, 1.145, 1, 12.25, 1, 0, 0.00012026420511207333, 0.00017344605793166276, 0.0001797627045713544, 0.00021046831622835668, 0.0001527821457209073, 0.00017109946887719797, 0.00017144732641093084, 0.000148971702009171, 0.00017442634303350822
001, 1.145, 1, 13.25, 1, 0, 0.0001229699167123626, 0.00018766682447611102, 0.0002510326461171006, 0.00021737389029284157, 0.00015561159072785365, 0.00016660125641804286, 0.00016946037445039538, 0.0001404519772933414, 0.0001691183916606102
001, 1.145, 1, 14.25, 1, 1, 0.00015590243666827622, 0.00020984770253909738, 0.0008975271262670097, 0.00023819015557698464, 0.00016935705929396936, 0.00016922819146675705, 0.00017848956369794636, 0.00013504755570096984, 0.0001792974171191186
001, 1.145, 1, 15.25, 1, 1, 0.0001580902799311222, 0.0002291904616724192, 0.0009921470568173617, 0.0002851956778660836, 0.00018386841426171522, 0.00018425825803759308, 0.0002040076079802825, 0.00013649007745098753, 0.00019358121953813945
001, 1.145, 1, 16.25, 1, 1, 0.00012078608342664465, 0.0002333380005704806, 0.0006051771903647885, 0.000304276858024779, 0.0001881376086154125, 0.00018974109956686273, 0.00021969572056708476, 0.00014178289325278063, 0.0001910691754062241
001, 1.145, 1, 17.25, 1, 1, 0.00012041795934493235, 0.00022045428523512046, 0.0004322032579252574, 0.0008546105414341594, 0.00022430384642185467, 0.00020647301160080982, 0.0002364803150763463, 0.00014324325007984524, 0.000183445095717156
001, 1.145, 1, 18.25, 1, 1, 0.00011724072125971288, 0.00018526115164912006, 0.00026619276071398725, 0.0010636211224208823, 0.00023762027023943897, 0.00021494224829573185, 0.0002403194981357605, 0.00013818504496739564, 0.0001894177381073099
001, 1.145, 1, 19.25, 1, 1, 0.00011195138896211175, 0.0001687913214923559, 0.00025740901711240573, 0.0008117713225012004, 0.0003655388612364166, 0.00026803950494693255, 0.00029527703446984396, 0.00014633615484003267, 0.00020245937965247734
001, 1.145, 1, 20.25, 1, 1, 0.0001132386235298471, 0.00017173394753766097, 0.00025055952456506947, 0.0005908549938881638, 0.0005160023402268711, 0.0003041363988256504, 0.00031936097652121635, 0.00015694323283663503, 0.00021273427354237808
001, 1.145, 1, 21.25, 1, 1, 0.00011346436632270562, 0.0001710036446276843, 0.0002136971263225852, 0.000405793934380038, 0.0005651376688343113, 0.0002868543842338594, 0.00026665414706838125, 0.00014945893619743763, 0.00019687091183620437
001, 1.145, 1, 22.25, 1, 1, 0.0001136072532466178, 0.00017719445757888633, 0.00019843634015402387, 0.00027235283802361877, 0.0005725298489224345, 0.0005732234513966096, 0.0004075044598799681, 0.00018508669888611377, 0.00022453025609024842
001, 1.145, 1, 23.25, 1, 1, 0.00012974621537925022, 0.0001871961506461641, 0.00021898432939340058, 0.0003090180430313177, 0.0004847140215326441, 0.0010332303761992547, 0.0006332844892547324, 0.00024305784866553352, 0.00029328944454045904
001, 1.145, 1, 24.25, 1, 1, 0.00013480160643489857, 0.0001885478379473371, 0.0002795223163974052, 0.0003158777742371338, 0.0003788125670443539, 0.0012559265605106974, 0.0015020975128248798, 0.00034136176564878037, 0.00046572705126031244
001, 1.145, 1, 25.25, 1, 1, 0.00012066502905052125, 0.0001848724179425901, 0.00026429876111464076, 0.00028847320930019434, 0.00032651218234383973, 0.000965840028420869, 0.001663018809961298, 0.0003451244456914514, 0.0004911264828207051
001, 1.145, 1, 26.25, 1, 1, 0.00011603644423170251, 0.00017517445363827308, 0.00019191200135105024, 0.00025529138824101176, 0.0002542092623214138, 0.00043732339501334293, 0.0010081651222140654, 0.0002489641593421611, 0.0006683318838463873
001, 1.145, 1, 27.25, 1, 1, 0.00011460315589441585, 0.00017581618703388995, 0.0001929623899862461, 0.00023782262005878698, 0.00022156061575632084, 0.00028612997944991867, 0.0005555615543632505, 0.00018851221063390867, 0.0006878012390496128
001, 1.1349999999999998, 2, 11.5, 1, 0, 0.00011171961120280625, 0.00017039557123255081, 0.00018605016917938054, 0.00019835533173626763, 0.00015571872680759152, 0.00016275867021095028, 0.0001931952873467405, 0.00013108912321309205, 0.00018238583380269973
001, 1.1349999999999998, 2, 12.5, 1, 0, 0.0001269722085995049, 0.00019077806338137392, 0.00021304320942944032, 0.00021015449498178185, 0.0001511799905486653, 0.00016553045603002838, 0.00019648751712287535, 0.00013632364216961497, 0.00018102754493503842
001, 1.1349999999999998, 2, 13.5, 1, 0, 0.00013296829063259006, 0.0001969270507734603, 0.00025713899991573345, 0.00021695134705160735, 0.00015348187264853174, 0.00016728571351020695, 0.00019741836939636087, 0.0001346061271741783, 0.00018826952974182015
001, 1.1349999999999998, 2, 14.5, 1, 1, 0.00012804962874363258, 0.0002107613992564096, 0.0009108622846036222, 0.00023097637272224985, 0.0001764641451396756, 0.00017583166819676711, 0.00020808439552470734, 0.00013374747215504095, 0.00019774776267709294
001, 1.1349999999999998, 2, 15.5, 1, 1, 0.00012830917137149093, 0.00022524558408412338, 0.000979008389326881, 0.0002826524406938231, 0.00018833341888474335, 0.000186080685403696, 0.00022768267799685188, 0.00013583191417066806, 0.00019962213559013745
001, 1.1349999999999998, 2, 16.5, 1, 1, 0.00011769723362211218, 0.00020797265235062524, 0.0005020851477954281, 0.00028757286157447555, 0.0001784629910096778, 0.0001792372716077585, 0.00022354415632222911, 0.0001319279617289227, 0.0002027258782018342
001, 1.1349999999999998, 2, 17.5, 1, 1, 0.00011435087592220414, 0.0002049631210408182, 0.0003643406599469641, 0.0008272369660183126, 0.00022724841071846848, 0.00020442535159446323, 0.00025004313261044165, 0.0001377979032365884, 0.00021150442532480863
001, 1.1349999999999998, 2, 18.5, 1, 1, 0.00011598609852009928, 0.00020907003321861314, 0.0003045775246074836, 0.001083200475627204, 0.0002901597494686222, 0.00023819320524762883, 0.0002888284727004894, 0.00014798063415060082, 0.0002130345407885221
001, 1.1349999999999998, 2, 19.5, 1, 1, 0.0001133031508531857, 0.00019395861363895512, 0.0002962015282745252, 0.000818414435850056, 0.0003428309964770313, 0.00025131027108178466, 0.00029882289299568946, 0.00015081425450318218, 0.0002093629457426573
001, 1.1349999999999998, 2, 20.5, 1, 1, 0.00011179435662917422, 0.00019337474960262122, 0.00029487727356288586, 0.000530995212141054, 0.0005020897387915684, 0.0003079662101914933, 0.00033218833483283835, 0.0001545748650460309, 0.0002194008238598695
001, 1.1349999999999998, 2, 21.5, 1, 1, 0.0001146679100215588, 0.00020470417975759758, 0.00027855290153253753, 0.00045297764871801645, 0.000759798183586484, 0.00039145242644266344, 0.0003770105019544435, 0.00016962820749679737, 0.0002526303163441792
001, 1.1349999999999998, 2, 22.5, 1, 1, 0.00011925998228633755, 0.00020151740146419906, 0.0002562944707274519, 0.00033116954786683006, 0.0006835591398211276, 0.0005720528525101526, 0.0004328634294763677, 0.00020470118358120455, 0.0002764212572583781
001, 1.1349999999999998, 2, 23.5, 1, 1, 0.00011966845523440599, 0.00019569865652373686, 0.00024147221517879973, 0.00028522095889318055, 0.0003827383080760987, 0.0009854358445117975, 0.0005825964367013054, 0.0002489731974897961, 0.00029386978667936297
001, 1.1349999999999998, 2, 24.5, 1, 1, 0.00012122794162400469, 0.00019591157085194907, 0.00023277040007094098, 0.00030389265759891754, 0.00035764918904777177, 0.0009690357016901308, 0.0013777599184336962, 0.00031858678859793114, 0.0004186994474834255
001, 1.1349999999999998, 2, 25.5, 1, 1, 0.0001179145210702344, 0.00019941299227289286, 0.00022628218888416483, 0.0002980748932795153, 0.00030116527293347047, 0.00056519893844535, 0.0014523488034014472, 0.00030648534339328945, 0.00042927777143398856
001, 1.1349999999999998, 2, 26.5, 1, 1, 0.00011597781709045755, 0.000198573106229578, 0.00023927003762818361, 0.0002754429643291281, 0.00027924580392764333, 0.0004819633211236145, 0.0008125964873458194, 0.00024188242487174522, 0.0007210552409098173
001, 1.1349999999999998, 2, 27.5, 1, 1, 0.00011838661607611052, 0.00018746498841436292, 0.00024384614675190125, 0.0002588733239722735, 0.0002637645170995895, 0.00037827833051810406, 0.000538705212953403, 0.00020858767437354148, 0.0007406452416801518
001, 1.135, 3, 6.75, 1, 0, 0.0001230789523442044, 0.00017393218138734648, 0.0002246773354297571, 0.00021520488082290288, 0.00017318604018610125, 0.00017358410784027318, 0.00018802316126029128, 0.00015162079974752346, 0.00018086532850909175
001, 1.135, 3, 7.75, 1, 0, 0.00012021613855657553, 0.00018227989794749103, 0.00022985871664367525, 0.00021624067823614295, 0.00016913648083425863, 0.00017148445909764747, 0.00018912936665118135, 0.00015751025866993877, 0.00018668473835384562
